id,chars
https://grundbuecher.acdh.oeaw.ac.at/e00087_1458-09-18.html,1210
https://grundbuecher.acdh.oeaw.ac.at/e00088_1458-09-20.html,866
https://grundbuecher.acdh.oeaw.ac.at/e00089_1458-09-15.html,933
https://grundbuecher.acdh.oeaw.ac.at/e00089a_1459-02-06.html,3754
https://grundbuecher.acdh.oeaw.ac.at/e00090_1459-09-03.html,703
https://grundbuecher.acdh.oeaw.ac.at/e00091_1459-02-09.html,766
https://grundbuecher.acdh.oeaw.ac.at/e00092_1459-03-02.html,2716
https://grundbuecher.acdh.oeaw.ac.at/e00093_1458-07-19.html,563
https://grundbuecher.acdh.oeaw.ac.at/e00094_1459-12-12.html,600
https://grundbuecher.acdh.oeaw.ac.at/e00095_1460-09-05.html,922
https://grundbuecher.acdh.oeaw.ac.at/e00096_1460-09-15.html,1410
https://grundbuecher.acdh.oeaw.ac.at/e00097_1460-11-19.html,1007
https://grundbuecher.acdh.oeaw.ac.at/e00098_1460-11-19.html,535
https://grundbuecher.acdh.oeaw.ac.at/e00099_1461-02-20.html,1290
https://grundbuecher.acdh.oeaw.ac.at/e00100_1461-06-19.html,557
https://grundbuecher.acdh.oeaw.ac.at/e00101_1461-11-09.html,2408
https://grundbuecher.acdh.oeaw.ac.at/e00102_1462-04-01.html,486
https://grundbuecher.acdh.oeaw.ac.at/e00103_1462-02-26.html,1806
https://grundbuecher.acdh.oeaw.ac.at/e00104_1462-07-19.html,773
https://grundbuecher.acdh.oeaw.ac.at/e00105_1462-07-19.html,461
https://grundbuecher.acdh.oeaw.ac.at/e00106_1463-02-04.html,1323
https://grundbuecher.acdh.oeaw.ac.at/e00107_1463-02-21.html,795
https://grundbuecher.acdh.oeaw.ac.at/e00108_1463-04-04.html,781
https://grundbuecher.acdh.oeaw.ac.at/e00109_1463-07-29.html,903
https://grundbuecher.acdh.oeaw.ac.at/e00110_1464-02-21.html,806
https://grundbuecher.acdh.oeaw.ac.at/e00110a_1464.html,381
https://grundbuecher.acdh.oeaw.ac.at/e00111_1465-07-31.html,490
https://grundbuecher.acdh.oeaw.ac.at/e00112_1465-08-13.html,640
https://grundbuecher.acdh.oeaw.ac.at/e00113_1466-07-11.html,662
https://grundbuecher.acdh.oeaw.ac.at/e00114_1467-03-02.html,773
https://grundbuecher.acdh.oeaw.ac.at/e00115_1467-03-02.html,923
https://grundbuecher.acdh.oeaw.ac.at/e00116_1467-06-10.html,850
